@RELATION "Sound_Gestures: -C 2"

@ATTRIBUTE gesture {tap, slap, stroke, tickle, rub, scratch}
@ATTRIBUTE place {left_arm, right_arm, belly}
@ATTRIBUTE pitchFFT_1 REAL
@ATTRIBUTE pitchFFTMin_1 REAL
@ATTRIBUTE pitchFFTMax_1 REAL
@ATTRIBUTE pitchFFTDif_1 REAL
@ATTRIBUTE pitchAutocorrelation_1 REAL
@ATTRIBUTE pitchAutocorrelationMin_1 REAL
@ATTRIBUTE pitchAutocorrelationMax_1 REAL
@ATTRIBUTE pitchAutocorrelationDif_1 REAL
@ATTRIBUTE pitchWavelet_1 REAL
@ATTRIBUTE pitchWaveletMin_1 REAL
@ATTRIBUTE pitchWaveletMax_1 REAL
@ATTRIBUTE pitchWaveletDif_1 REAL
@ATTRIBUTE centroide_1 REAL
@ATTRIBUTE centroideMin_1 REAL
@ATTRIBUTE centroideMax_1 REAL
@ATTRIBUTE centroideDif_1 REAL
@ATTRIBUTE rollOff_1 REAL
@ATTRIBUTE rollOffMin_1 REAL
@ATTRIBUTE rollOffMax_1 REAL
@ATTRIBUTE rollOffDif_1 REAL
@ATTRIBUTE ganancia_1 REAL
@ATTRIBUTE flux_1 REAL
@ATTRIBUTE fluxMin_1 REAL
@ATTRIBUTE fluxMax_1 REAL
@ATTRIBUTE fluxDif_1 REAL
@ATTRIBUTE SNR_1 REAL
@ATTRIBUTE SNRMax_1 REAL
@ATTRIBUTE zeroXMean_1 REAL
@ATTRIBUTE ZCRmin_1 REAL
@ATTRIBUTE ZCRmax_1 REAL
@ATTRIBUTE ZCRmax_minus_ZCRmin_1 REAL
@ATTRIBUTE numWordsMinute_1 REAL
@ATTRIBUTE duration_1 REAL
@ATTRIBUTE pitchFFT_2 REAL
@ATTRIBUTE pitchFFTMin_2 REAL
@ATTRIBUTE pitchFFTMax_2 REAL
@ATTRIBUTE pitchFFTDif_2 REAL
@ATTRIBUTE pitchAutocorrelation_2 REAL
@ATTRIBUTE pitchAutocorrelationMin_2 REAL
@ATTRIBUTE pitchAutocorrelationMax_2 REAL
@ATTRIBUTE pitchAutocorrelationDif_2 REAL
@ATTRIBUTE pitchWavelet_2 REAL
@ATTRIBUTE pitchWaveletMin_2 REAL
@ATTRIBUTE pitchWaveletMax_2 REAL
@ATTRIBUTE pitchWaveletDif_2 REAL
@ATTRIBUTE centroide_2 REAL
@ATTRIBUTE centroideMin_2 REAL
@ATTRIBUTE centroideMax_2 REAL
@ATTRIBUTE centroideDif_2 REAL
@ATTRIBUTE rollOff_2 REAL
@ATTRIBUTE rollOffMin_2 REAL
@ATTRIBUTE rollOffMax_2 REAL
@ATTRIBUTE rollOffDif_2 REAL
@ATTRIBUTE ganancia_2 REAL
@ATTRIBUTE flux_2 REAL
@ATTRIBUTE fluxMin_2 REAL
@ATTRIBUTE fluxMax_2 REAL
@ATTRIBUTE fluxDif_2 REAL
@ATTRIBUTE SNR_2 REAL
@ATTRIBUTE SNRMax_2 REAL
@ATTRIBUTE zeroXMean_2 REAL
@ATTRIBUTE ZCRmin_2 REAL
@ATTRIBUTE ZCRmax_2 REAL
@ATTRIBUTE ZCRmax_minus_ZCRmin_2 REAL
@ATTRIBUTE numWordsMinute_2 REAL
@ATTRIBUTE duration_2 REAL
@ATTRIBUTE pitchFFT_3 REAL
@ATTRIBUTE pitchFFTMin_3 REAL
@ATTRIBUTE pitchFFTMax_3 REAL
@ATTRIBUTE pitchFFTDif_3 REAL
@ATTRIBUTE pitchAutocorrelation_3 REAL
@ATTRIBUTE pitchAutocorrelationMin_3 REAL
@ATTRIBUTE pitchAutocorrelationMax_3 REAL
@ATTRIBUTE pitchAutocorrelationDif_3 REAL
@ATTRIBUTE pitchWavelet_3 REAL
@ATTRIBUTE pitchWaveletMin_3 REAL
@ATTRIBUTE pitchWaveletMax_3 REAL
@ATTRIBUTE pitchWaveletDif_3 REAL
@ATTRIBUTE centroide_3 REAL
@ATTRIBUTE centroideMin_3 REAL
@ATTRIBUTE centroideMax_3 REAL
@ATTRIBUTE centroideDif_3 REAL
@ATTRIBUTE rollOff_3 REAL
@ATTRIBUTE rollOffMin_3 REAL
@ATTRIBUTE rollOffMax_3 REAL
@ATTRIBUTE rollOffDif_3 REAL
@ATTRIBUTE ganancia_3 REAL
@ATTRIBUTE flux_3 REAL
@ATTRIBUTE fluxMin_3 REAL
@ATTRIBUTE fluxMax_3 REAL
@ATTRIBUTE fluxDif_3 REAL
@ATTRIBUTE SNR_3 REAL
@ATTRIBUTE SNRMax_3 REAL
@ATTRIBUTE zeroXMean_3 REAL
@ATTRIBUTE ZCRmin_3 REAL
@ATTRIBUTE ZCRmax_3 REAL
@ATTRIBUTE ZCRmax_minus_ZCRmin_3 REAL
@ATTRIBUTE numWordsMinute_3 REAL
@ATTRIBUTE duration_3 REAL
@ATTRIBUTE pitchFFT_4 REAL
@ATTRIBUTE pitchFFTMin_4 REAL
@ATTRIBUTE pitchFFTMax_4 REAL
@ATTRIBUTE pitchFFTDif_4 REAL
@ATTRIBUTE pitchAutocorrelation_4 REAL
@ATTRIBUTE pitchAutocorrelationMin_4 REAL
@ATTRIBUTE pitchAutocorrelationMax_4 REAL
@ATTRIBUTE pitchAutocorrelationDif_4 REAL
@ATTRIBUTE pitchWavelet_4 REAL
@ATTRIBUTE pitchWaveletMin_4 REAL
@ATTRIBUTE pitchWaveletMax_4 REAL
@ATTRIBUTE pitchWaveletDif_4 REAL
@ATTRIBUTE centroide_4 REAL
@ATTRIBUTE centroideMin_4 REAL
@ATTRIBUTE centroideMax_4 REAL
@ATTRIBUTE centroideDif_4 REAL
@ATTRIBUTE rollOff_4 REAL
@ATTRIBUTE rollOffMin_4 REAL
@ATTRIBUTE rollOffMax_4 REAL
@ATTRIBUTE rollOffDif_4 REAL
@ATTRIBUTE ganancia_4 REAL
@ATTRIBUTE flux_4 REAL
@ATTRIBUTE fluxMin_4 REAL
@ATTRIBUTE fluxMax_4 REAL
@ATTRIBUTE fluxDif_4 REAL
@ATTRIBUTE SNR_4 REAL
@ATTRIBUTE SNRMax_4 REAL
@ATTRIBUTE zeroXMean_4 REAL
@ATTRIBUTE ZCRmin_4 REAL
@ATTRIBUTE ZCRmax_4 REAL
@ATTRIBUTE ZCRmax_minus_ZCRmin_4 REAL
@ATTRIBUTE numWordsMinute_4 REAL
@ATTRIBUTE duration_4 REAL

@DATA
scratch,left_arm,1599.35,843.75,4593.75,3750.0,1993.91,631.579,3428.57,2796.99,60.0172,0.0,1090.91,1090.91,3302.06,2401.14,3917.08,1515.94,2496.27,1031.25,3468.75,2437.5,0.01224,0.616995,0.269351,0.947518,0.678167,21.3447,87.462,53.0149,23.0,72.0,49.0,312.018,1730.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scratch,left_arm,1284.288473,831.792697,2778.098178,1909.378638,1668.747851,669.872096,3105.714967,2701.014246,66.859039,0.0,876.911937,1028.733102,2933.927514,1756.237358,4068.620827,2253.1563,2079.692673,1116.454515,3052.297325,2115.35251,0.068577,0.607351,0.142414,0.940747,0.782087,214.295572,554.848404,41.954938,26.665702,106.262868,76.249342,121.231303,1101.745243,869.451709,733.508257,982.676604,333.422175,1322.069441,658.661137,1756.366115,1117.331374,202.898551,0.0,905.66,905.66,1773.067765,1333.176594,2241.927868,693.152905,952.118055,843.75,1353.345971,381.91997,0.009291,0.503891,0.025645,0.993589,0.98744,14.981233,31.520301,21.42238,17.831548,28.379589,13.033881,676.371778,816.237964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1264.508138,835.964094,1867.954362,686.917545,1448.320293,982.144046,1959.299499,1325.421324,0.0,0.0,0.0,0.0,1719.285709,1537.508834,2038.435538,283.517754,1296.986795,1102.751063,1690.361171,752.155862,0.00748,0.667687,0.079662,1.11445,0.980549,14.577009,14.960795,27.587959,22.966337,30.759327,8.001147,365.028687,819.181754
stroke,right_arm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1726.7,1218.75,2437.5,1218.75,2280.82,380.952,3428.57,3047.62,14.5455,0.0,800.0,800.0,2873.74,2210.31,3709.69,1499.38,2144.32,1687.5,3187.5,1500.0,0.024314,0.640517,0.416107,0.894426,0.478319,52.1414,171.578,46.2909,37.0,68.0,31.0,180.723,664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stroke,right_arm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1728.219921,1197.746909,3223.077557,2194.227205,2296.631208,1263.16,3625.537287,2674.259696,8.073687,0.0,389.012673,453.130705,3203.54281,2562.208996,3952.674373,1506.587601,2428.026964,1521.407005,3399.048445,1794.428812,0.01001,0.618428,0.411577,1.003924,0.608201,34.386257,79.473844,50.725431,30.895137,69.149849,40.911894,177.701093,1113.95551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slap,right_arm,1005.305218,984.054762,1097.783081,92.044026,1262.187954,902.635561,1614.869834,761.270596,80.396927,0.0,675.246477,1103.315702,1551.510221,1472.493225,2312.643048,676.939811,1099.110373,1053.67587,1758.751013,308.960833,0.085774,0.640138,0.864407,0.849157,0.059063,32.471748,46.158015,26.618446,24.853201,29.577966,7.308255,2928.694802,14.165103,1339.29,271.905299,1781.25,1657.923401,1649.79012,861.371145,1947.494453,1424.17424,19.78122,0.0,132.550971,142.768634,1778.369234,1433.369924,2153.562381,1113.734496,1483.506448,1082.985206,1894.22599,894.817837,0.019699,0.659231,0.452224,0.925671,0.512955,71.587717,165.325881,29.162127,19.188382,39.696649,15.132114,1069.176769,66.7794,470.826843,93.75,1031.25,937.5,492.05378,380.952,906.875696,515.061599,18.265923,0.0,139.260925,159.939972,1830.468137,1553.143748,2010.072916,515.061088,824.504132,194.779332,1319.494669,723.524443,0.005988,0.832641,0.305278,0.922698,0.508221,53.5221,76.566685,22.04689,7.532305,41.326817,42.259107,1836.73,65.3333,1477.080021,208.468228,1920.191371,1687.5,1363.816938,388.937386,2359.613385,2189.797071,0.0,0.0,0.0,0.0,1939.830709,1717.913181,2370.815546,1076.635552,1547.171808,1308.099454,2406.430388,760.882994,0.010565,0.745522,0.428673,1.201695,0.602648,46.454927,148.745849,32.770779,20.02078,51.579416,31.0,975.322992,90.281511
scratch,right_arm,956.044,750.0,1312.5,562.5,1472.19,666.667,2000.0,1333.33,386.2,0.0,1107.69,1107.69,1991.42,1275.7,2987.71,1712.0,997.253,843.75,1875.0,1031.25,0.013933,0.502305,0.142608,1.01602,0.873414,41.5626,147.588,23.9121,17.0,121.0,104.0,435.835,1101.33,1651.75,750.0,4593.75,3843.75,2078.06,533.333,3428.57,2895.24,189.139,0.0,2051.28,2051.28,3022.76,1736.35,5891.08,4154.73,2027.54,1406.25,3843.75,2437.5,0.133098,0.63289,0.33433,0.910161,0.575831,645.291,1800.91,43.5424,25.0,79.0,54.0,47.9744,1250.67,276.89,187.5,468.75,281.25,430.22,380.952,571.429,190.476,9.65711,0.0,223.256,223.256,1740.42,794.479,2514.65,1720.18,318.314,281.25,468.75,187.5,0.003901,0.431685,0.12601,0.918421,0.792411,23.0792,59.8604,8.39535,5.0,24.0,19.0,767.591,1250.67,1674.79,187.5,2156.25,1968.75,1481.23,380.952,3000.0,2619.05,28.017,0.0,539.326,539.326,2122.86,1595.68,2636.26,1040.58,1561.97,937.5,2062.5,1125.0,0.00405,0.679521,0.367345,1.07138,0.70404,23.5425,134.301,34.0678,16.0,44.0,28.0,665.962,1261.33
tap,belly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2574.724609,298.152212,4569.89253,4122.041983,2568.661279,407.471577,6000.0,5590.291438,0.0,0.0,0.0,0.0,3531.036753,2350.400489,4313.49426,1887.518223,3500.862894,1875.0,4125.0,2250.0,0.007432,0.659688,0.504557,0.840327,0.357838,16.372996,65.862785,70.316124,43.247614,91.430491,45.539694,840.336286,93.844386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slap,left_arm,1160.16,750.0,1875.0,1125.0,1629.0,727.273,2400.0,1672.73,105.517,0.0,905.66,905.66,3142.71,1707.99,5947.9,4239.91,2197.27,1218.75,4125.0,2906.25,0.03229,0.704765,0.487688,0.865845,0.378157,203.357,1393.52,48.625,29.0,92.0,63.0,692.308,173.333,691.406,93.75,1406.25,1312.5,783.498,380.952,1090.91,709.957,0.0,0.0,0.0,0.0,1787.95,1232.31,2376.25,1143.94,1078.12,750.0,1406.25,656.25,0.012924,0.654271,0.456856,0.900451,0.443594,66.5674,145.983,28.625,16.0,74.0,58.0,1216.22,98.6667,174.107,93.75,281.25,187.5,415.526,380.952,533.333,152.381,0.0,0.0,0.0,0.0,1086.33,511.811,1957.25,1445.44,254.464,93.75,468.75,375.0,0.012138,0.465274,0.334228,0.558731,0.224504,87.5291,223.761,4.57143,2.0,8.0,6.0,1551.72,77.3333,1384.62,1125.0,1593.75,468.75,1005.8,380.952,2400.0,2019.05,63.8116,0.0,448.598,448.598,1915.39,1241.71,2390.19,1148.48,1132.21,93.75,2062.5,1968.75,0.018386,0.793624,0.415461,1.18249,0.767028,115.934,336.246,22.7692,1.0,52.0,51.0,616.438,194.667
tickle,left_arm,1278.287883,228.49711,3147.250784,4057.950645,1686.710591,427.032134,3428.57,3008.906429,4.228784,0.0,81.563856,537.843077,2893.596368,1560.774781,4635.732147,2605.146903,2133.169044,898.669801,3976.130698,3098.120455,0.020746,0.744275,0.389548,1.228417,0.857924,114.264114,743.221721,46.015994,21.841345,101.052216,95.851056,627.326292,795.651107,785.518172,769.868847,832.613636,0.0,893.605141,741.16853,916.963152,0.0,431.662679,484.196056,798.449878,0.0,1729.409271,1675.880157,1733.204118,0.0,843.75,843.75,843.75,0.0,0.007728,0.567198,0.57415,0.566702,0.0,14.430112,14.470204,20.0,20.0,20.0,0.0,22500.0,2.66667,57.095561,82.412039,108.961393,31.574813,327.434062,103.651637,392.17852,108.033888,0.0,0.0,0.0,0.0,725.463047,673.790976,1187.176933,121.107183,91.188868,89.763594,213.122748,33.608234,0.001002,0.168299,0.136796,0.106781,0.018832,2.130686,8.158776,7.514806,3.905744,5.24195,0.750919,94.81553,29.05579,236.448904,21.337196,155.454623,455.919395,236.485111,30.383889,331.110273,1561.561793,108.900356,0.0,186.840067,93.918159,863.819546,1184.203413,1075.803088,309.048778,31.213917,113.749352,61.822568,562.539964,0.000404,0.177342,0.026086,0.2803,0.71792,12.25776,14.225859,10.309485,3.844615,27.49512,0.230593,409.536332,144.492045
tap,belly,986.837034,940.727042,1031.25,71.650001,1277.696685,1108.295561,1645.138227,383.690339,265.134594,0.0,960.544302,708.971199,2475.29134,2059.543971,3193.321111,355.783629,1079.30212,1107.555361,1125.0,5.192027,0.019046,0.45483,0.292611,0.538935,0.141558,38.111517,34.217602,36.073718,34.264323,30.288883,1.717407,4652.049505,19.628638,1560.711347,1527.242383,1561.184574,0.0,1763.499327,1748.524079,1590.485003,0.0,0.0,0.0,0.0,0.0,2679.247307,2680.286833,2681.487718,0.0,1687.5,1687.5,1687.5,0.0,0.003502,0.767893,0.808745,0.641455,0.0,13.90241,14.07275,36.624372,38.718374,39.65243,0.0,22500.0,2.66667,257.079013,93.75,206.012083,29.274515,1560.305178,380.952,6000.0,5619.05,0.0,0.0,0.0,0.0,2478.884017,1031.078253,3973.772147,2846.067364,1359.241994,93.75,4208.129633,4102.462909,0.012012,0.396396,0.081662,0.409411,0.390588,62.53857,243.153876,22.981964,0.0,46.575242,61.76001,653.158534,197.004975,1645.384195,1338.600317,1842.766703,399.027026,2080.891967,1443.115299,2623.095221,1187.795252,0.0,0.0,0.0,0.0,2795.819284,2154.135082,3757.209582,1344.163601,2141.063178,1677.781156,2694.869988,1122.430777,0.009819,0.802504,0.606461,0.778511,0.107889,45.363833,76.164026,40.694887,34.662282,45.584135,13.076052,1737.230409,29.144366
slap,right_arm,1098.21,1031.25,1125.0,93.75,1308.62,827.586,1714.29,886.7,0.0,0.0,0.0,0.0,1956.63,1467.95,2602.18,1134.23,1098.21,937.5,1218.75,281.25,0.014644,0.622515,0.50146,0.785391,0.283931,46.9288,136.217,23.2857,20.0,25.0,5.0,900.0,66.6667,1640.62,1218.75,2156.25,937.5,1518.37,380.952,2666.67,2285.71,0.0,0.0,0.0,0.0,2646.17,1859.47,3242.08,1382.61,1828.12,1218.75,2437.5,1218.75,0.016767,0.7167,0.519972,1.04101,0.521035,96.6571,651.658,37.5,13.0,49.0,36.0,1168.83,205.333,210.938,187.5,281.25,93.75,432.885,380.952,480.0,99.0476,0.0,0.0,0.0,0.0,1555.63,1197.44,1916.86,719.421,210.938,187.5,281.25,93.75,0.004679,0.505755,0.362004,0.705897,0.343892,23.5605,33.4515,3.5,2.0,4.0,2.0,1730.77,34.6667,1166.67,93.75,1968.75,1875.0,1124.45,380.952,2666.67,2285.71,0.0,0.0,0.0,0.0,2130.94,1515.86,2930.7,1414.84,1291.67,93.75,2062.5,1968.75,0.006676,0.786459,0.198007,1.28451,1.0865,24.9025,36.5893,19.6667,0.0,34.0,34.0,1216.22,98.6667
slap,belly,1125.0,1031.25,1218.75,187.5,1550.82,1142.86,1846.15,703.297,275.229,0.0,1100.92,1100.92,2023.53,1854.71,2266.37,411.652,1312.5,1125.0,1593.75,468.75,0.027775,0.647476,0.583677,0.748355,0.164679,30.3019,71.5583,28.25,24.0,32.0,8.0,1666.67,108.0,1281.25,1125.0,1500.0,375.0,1688.33,1043.48,2400.0,1356.52,90.9091,0.0,545.455,545.455,1933.24,1523.01,2974.49,1451.48,1515.62,1125.0,2718.75,1593.75,0.023564,0.749284,0.476587,1.14689,0.670305,66.8611,96.5236,28.6667,24.0,40.0,16.0,1097.56,54.6667,448.661,93.75,3656.25,3562.5,612.878,380.952,1411.76,1030.81,0.0,0.0,0.0,0.0,2379.61,1340.61,3510.45,2169.84,1446.43,281.25,3656.25,3375.0,0.038582,0.570614,0.178244,1.19272,1.01448,288.608,1317.19,25.0714,11.0,61.0,50.0,428.571,140.0,1818.75,1312.5,2625.0,1312.5,1072.75,380.952,2400.0,2019.05,0.0,0.0,0.0,0.0,2296.79,1467.8,2856.23,1388.43,1565.62,281.25,2531.25,2250.0,0.00729,0.882516,0.668326,1.2314,0.563071,34.4474,60.2091,28.0,11.0,47.0,36.0,1011.24,118.667
slap,belly,1031.25,1031.25,1031.25,0.0,2000.0,2000.0,2000.0,0.0,1061.95,1061.95,1061.95,0.0,2536.87,2536.87,2536.87,0.0,1125.0,1125.0,1125.0,0.0,0.311768,0.53575,0.53575,0.53575,0.0,1111.91,1111.91,26.0,26.0,26.0,0.0,22500.0,2.66667,1593.75,1218.75,1781.25,562.5,1712.09,1000.0,2400.0,1400.0,0.0,0.0,0.0,0.0,1816.79,1580.73,2005.53,424.799,1443.75,1218.75,1593.75,375.0,0.043512,0.609108,0.534001,0.713849,0.179848,243.606,378.449,31.4,24.0,34.0,10.0,1323.53,45.3333,168.75,93.75,187.5,93.75,1034.29,380.952,3428.57,3047.62,0.0,0.0,0.0,0.0,2607.85,1735.83,3554.19,1818.36,1668.75,281.25,3281.25,3000.0,0.147204,0.653244,0.354972,0.843653,0.48868,725.989,2096.52,32.4,6.0,78.0,72.0,1323.53,45.3333,1203.12,93.75,1781.25,1687.5,1681.57,585.366,2400.0,1814.63,0.0,0.0,0.0,0.0,3263.47,2145.28,4946.08,2800.79,2328.12,1593.75,4218.75,2625.0,0.094426,0.772945,0.595367,0.940448,0.345081,588.454,1380.09,39.3333,32.0,55.0,23.0,1071.43,56.0
tickle,belly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986.692471,180.820518,4818.610575,4687.5,1451.029226,380.952,4000.0,3619.05,17.263389,0.0,94.621237,531.798549,2825.788616,2028.168688,3368.674019,1330.526755,2569.12219,868.157216,3626.886185,2812.5,0.009688,0.661867,0.424382,1.07472,0.573957,79.744485,184.847334,58.804199,19.145734,85.161045,63.805817,236.569596,334.08857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slap,right_arm,1050.0,843.75,1312.5,468.75,1512.74,923.077,2181.82,1258.74,145.554,0.0,1034.48,1034.48,2039.2,1334.87,3038.52,1703.65,1096.88,843.75,1218.75,375.0,0.054284,0.692374,0.496912,0.906918,0.410006,195.481,776.387,23.8,19.0,26.0,7.0,608.108,98.6667,1354.17,750.0,1875.0,1125.0,1729.65,1043.48,3000.0,1956.52,82.0513,0.0,738.462,738.462,2594.71,1544.02,3398.95,1854.93,1843.75,1031.25,3187.5,2156.25,0.050652,0.762223,0.504272,1.04793,0.543659,245.607,1132.29,38.0,28.0,46.0,18.0,681.818,88.0,218.75,187.5,281.25,93.75,413.658,380.952,558.14,177.187,0.0,0.0,0.0,0.0,1269.28,808.591,1841.62,1033.03,234.375,93.75,281.25,187.5,0.014638,0.615209,0.446486,1.0249,0.578416,88.1617,234.784,16.1667,4.0,65.0,61.0,1071.43,56.0,791.667,93.75,1875.0,1781.25,1364.65,444.444,2666.67,2222.22,0.0,0.0,0.0,0.0,1973.84,1593.53,2619.32,1025.79,1312.5,468.75,1968.75,1500.0,0.02336,0.643645,0.386769,0.840203,0.453434,156.129,474.214,31.5556,7.0,58.0,51.0,681.818,88.0
stroke,left_arm,1518.75,843.75,2343.75,1500.0,1756.19,380.952,3428.57,3047.62,17.7938,0.0,464.516,464.516,3247.6,1428.58,3817.18,2388.61,2251.88,750.0,3093.75,2343.75,0.007051,0.679242,0.499754,1.02264,0.522886,32.8793,156.93,53.8,15.0,181.0,166.0,424.528,706.667,1500.0,1500.0,1500.0,0.0,2181.82,2181.82,2181.82,0.0,0.0,0.0,0.0,0.0,2778.58,2778.58,2778.58,0.0,1593.75,1593.75,1593.75,0.0,0.006394,0.797621,0.797621,0.797621,0.0,17.5389,17.5389,33.0,33.0,33.0,0.0,22500.0,2.66667,187.5,187.5,187.5,0.0,380.952,380.952,380.952,0.0,0.0,0.0,0.0,0.0,1301.67,1301.67,1301.67,0.0,187.5,187.5,187.5,0.0,0.004936,0.285921,0.285921,0.285921,0.0,20.9126,20.9126,5.0,5.0,5.0,0.0,22500.0,2.66667,1921.88,1781.25,2062.5,281.25,2039.22,1411.76,2666.67,1254.9,0.0,0.0,0.0,0.0,3441.64,2483.15,4400.12,1916.97,2812.5,1781.25,3843.75,2062.5,0.003747,1.06,0.894662,1.22534,0.330676,13.9989,15.4767,44.0,43.0,45.0,2.0,1097.56,109.333
tickle,left_arm,1490.014268,733.155486,4819.160182,4215.950783,1662.434908,609.285215,4000.0,3460.753965,107.840413,0.0,1401.756181,1187.380785,2884.100652,1456.699006,4356.365116,3836.390278,2046.986031,1012.824107,4257.292963,3283.968644,0.045224,0.717409,0.277447,1.068301,0.768982,290.54265,1299.796319,44.570205,20.0,97.534159,103.185903,577.372623,832.983909,770.986557,93.75,1512.683029,1387.436144,1049.367939,579.58756,1639.989308,1126.291361,107.818527,0.0,701.508017,723.624906,1592.356358,1141.165008,1918.779598,787.773833,880.183512,530.433085,1391.383418,705.760763,0.011521,0.600705,0.304618,1.010983,0.688972,37.411708,46.692422,20.743656,14.657717,40.392022,25.601138,590.262943,772.334172,182.584212,93.75,355.672136,189.81097,431.498144,380.952,531.874289,200.395294,21.896782,0.0,135.63573,0.318821,1472.169032,775.436411,2210.579296,1347.460534,250.564152,93.75,481.492004,458.707415,0.004684,0.535762,0.113192,0.972617,0.834489,28.171465,98.243979,7.961172,2.549537,24.471469,18.296838,762.766278,867.10422,1098.776828,122.201486,1793.176822,1608.733154,1275.567868,380.952,2631.280202,2212.063274,76.295573,0.0,916.63027,1084.881151,1632.976441,1247.513637,2157.691226,856.34118,1211.910678,307.335572,1767.831718,1415.917302,0.010222,0.781441,0.460007,1.045382,0.725242,51.704651,61.196736,25.743931,13.327989,35.006848,27.666396,828.253634,878.191485
